category_label	category_name
111075	Allegro > Supermarket > Groceries > Confectionery Decorations and Baking Products > Cake and Pastry Decorations
111077	Allegro > Supermarket > Groceries > Confectionery Decorations and Baking Products > Other
111079	Allegro > Supermarket > Groceries > Dairy and Eggs > Eggs
111080	Allegro > Supermarket > Groceries > Dairy and Eggs > Milk and Milk Drinks
111081	Allegro > Supermarket > Groceries > Dairy and Eggs > Butter
111085	Allegro > Supermarket > Groceries > Dairy and Eggs > Rennet and Cheese Making Accessories
111086	Allegro > Supermarket > Groceries > Dairy and Eggs > Other
111089	Allegro > Supermarket > Groceries > Sugar and Sweeteners > Sugar
111090	Allegro > Supermarket > Groceries > Sugar and Sweeteners > Xylitol
111091	Allegro > Supermarket > Groceries > Sugar and Sweeteners > Other
111093	Allegro > Supermarket > Groceries > Dry Goods > Groats
111094	Allegro > Supermarket > Groceries > Dry Goods > Pasta
111095	Allegro > Supermarket > Groceries > Dry Goods > Flour and Bread Mixes
111097	Allegro > Supermarket > Groceries > Dry Goods > Other
111633	Allegro > Fashion > Clothing, Shoes, Accessories > Wedding Ceremony and Wedding Party > Wedding Decorations > Lanterns
111638	Allegro > Fashion > Clothing, Shoes, Accessories > Wedding Ceremony and Wedding Party > Women's Accessories > Other
111696	Allegro > Home and Garden > Equipment > Tablecloths, Napkins, Coasters > Pads and mats
111773	Allegro > Culture and Entertainment > Books and Comics > Elementary and High School Textbooks > Kindergarten
111774	Allegro > Culture and Entertainment > Books and Comics > Elementary and High School Textbooks > Elementary School > Early School Education
111778	Allegro > Culture and Entertainment > Books and Comics > Elementary and High School Textbooks > Elementary School > Other
111779	Allegro > Culture and Entertainment > Books and Comics > Elementary and High School Textbooks > Elementary School > Mixed Sets
111780	Allegro > Culture and Entertainment > Books and Comics > Elementary and High School Textbooks > Elementary School > Foreign Languages
111781	Allegro > Culture and Entertainment > Books and Comics > Elementary and High School Textbooks > Elementary School > Religion, Ethics
111782	Allegro > Culture and Entertainment > Books and Comics > Elementary and High School Textbooks > Elementary School > Art
111785	Allegro > Culture and Entertainment > Books and Comics > Elementary and High School Textbooks > Elementary School > History
111787	Allegro > Culture and Entertainment > Books and Comics > Elementary and High School Textbooks > Elementary School > Mathematics
111788	Allegro > Culture and Entertainment > Books and Comics > Elementary and High School Textbooks > Elementary School > Polish
111789	Allegro > Culture and Entertainment > Books and Comics > Elementary and High School Textbooks > Junior HIgh School > Other
111804	Allegro > Culture and Entertainment > Books and Comics > Elementary and High School Textbooks > Senior High School > Other
111806	Allegro > Culture and Entertainment > Books and Comics > Elementary and High School Textbooks > Senior High School > Foreign Languages
111807	Allegro > Culture and Entertainment > Books and Comics > Elementary and High School Textbooks > Senior High School > Vocational Courses
111810	Allegro > Culture and Entertainment > Books and Comics > Elementary and High School Textbooks > Senior High School > Music
111812	Allegro > Culture and Entertainment > Books and Comics > Elementary and High School Textbooks > Senior High School > Social Studies
111813	Allegro > Culture and Entertainment > Books and Comics > Elementary and High School Textbooks > Senior High School > Physics and Astronomy
111814	Allegro > Culture and Entertainment > Books and Comics > Elementary and High School Textbooks > Senior High School > Chemistry
111817	Allegro > Culture and Entertainment > Books and Comics > Elementary and High School Textbooks > Senior High School > Biology
111819	Allegro > Culture and Entertainment > Books and Comics > Elementary and High School Textbooks > Senior High School > Polish
111853	Allegro > Home and Garden > Construction Work and Equipment > Roofs > Gutters and Drain Pipes
111854	Allegro > Home and Garden > Construction Work and Equipment > Roofs > Soffit Boards and Roof Frameworks
111855	Allegro > Home and Garden > Construction Work and Equipment > Electrical Equipment and Accessories > Sockets
111856	Allegro > Home and Garden > Construction Work and Equipment > Electrical Equipment and Accessories > Extension Cords
111857	Allegro > Home and Garden > Construction Work and Equipment > Hydraulic Installations and Accessories > Valves
111858	Allegro > Home and Garden > Construction Work and Equipment > Hydraulic Installations and Accessories > Hoses
111859	Allegro > Home and Garden > Construction Work and Equipment > Hydraulic Installations and Accessories > Siphons
111861	Allegro > Home and Garden > Construction Work and Equipment > Bathroom and Toilet > Bidets
111863	Allegro > Home and Garden > Construction Work and Equipment > Bathroom and Toilet > Bowls and Compact Toilets
111864	Allegro > Home and Garden > Construction Work and Equipment > Bathroom and Toilet > Sets
111866	Allegro > Home and Garden > Construction Work and Equipment > Heating > Other
111867	Allegro > Home and Garden > Construction Work and Equipment > Heating > Accessories for Boilers and Furnaces
111869	Allegro > Home and Garden > Construction Work and Equipment > Heating > Boilers and furnaces
111870	Allegro > Home and Garden > Construction Work and Equipment > Heating > Pumps and Filters
111876	Allegro > Home and Garden > Construction Work and Equipment > Air Conditioning and Ventilation > Fans
111881	Allegro > Home and Garden > Construction Work and Equipment > Fireplaces and Accessories > Fireplace Housing Units
111882	Allegro > Home and Garden > Construction Work and Equipment > Fireplaces and Accessories > Fireplace Wood
111883	Allegro > Home and Garden > Construction Work and Equipment > Fireplaces and Accessories > Fireplace Inserts
111885	Allegro > Home and Garden > Construction Work and Equipment > Fireplaces and Accessories > Bio Fireplaces
111889	Allegro > Home and Garden > Construction Work and Equipment > Central Vacuum Cleaners > Other
111890	Allegro > Home and Garden > Construction Work and Equipment > Central Vacuum Cleaners > Central Units
111891	Allegro > Home and Garden > Construction Work and Equipment > Central Vacuum Cleaners > Suction Hoses
111893	Allegro > Home and Garden > Construction Work and Equipment > Fences and Gates > Spans
111894	Allegro > Home and Garden > Construction Work and Equipment > Fences and Gates > Wire and Fence Panels
111896	Allegro > Home and Garden > Construction Work and Equipment > Walls and Facades > Land
111897	Allegro > Home and Garden > Construction Work and Equipment > Walls and Facades > Plaster and Veneer
111898	Allegro > Home and Garden > Construction Work and Equipment > Walls and Facades > Grout
111994	Allegro > Kids > Toys > Building Toys > LEGO > Sets > Friends
112121	Allegro > Fashion > Clothing, Shoes, Accessories > Women's Underwear > Tank Tops
112264	Allegro > Sports and Travel > Extreme Sports > Parachuting > Parachutes
112275	Allegro > Sports and Travel > Extreme Sports > Climbing > Climbing Equipment > Carabiners
112290	Allegro > Sports and Travel > Travel > Clothes > Jackets
112306	Allegro > Sports and Travel > Other Sports and Leisure > Horse Riding > Accessories > Protectors and Wraps
112308	Allegro > Sports and Travel > Other Sports and Leisure > Horse Riding > Accessories > Care and Cosmetics
112310	Allegro > Sports and Travel > Other Sports and Leisure > Horse Riding > Accessories > Other
112311	Allegro > Sports and Travel > Other Sports and Leisure > Horse Riding > Accessories > Saddles
112313	Allegro > Sports and Travel > Other Sports and Leisure > Horse Riding > Gadgets
112316	Allegro > Sports and Travel > Other Sports and Leisure > Horse Riding > Clothes > Riding Breeches
112321	Allegro > Sports and Travel > Other Sports and Leisure > Horse Riding > Clothes > Jackets
112324	Allegro > Sports and Travel > Other Sports and Leisure > Horse Riding > Clothes > Other
112326	Allegro > Sports and Travel > Other Sports and Leisure > Horse Riding > Other
112365	Allegro > Sports and Travel > Team Sports > Football > Goals
112555	Allegro > Home and Garden > Equipment > Window Decor > Mosquito Nets
112556	Allegro > Home and Garden > Equipment > Window Decor > Window Films
112612	Allegro > Supermarket > Groceries > Ready Meals > Soups
112613	Allegro > Supermarket > Groceries > Ready Meals > Cakes
112614	Allegro > Supermarket > Groceries > Ready Meals > Pasta, Noodles, Dumplings
112615	Allegro > Supermarket > Groceries > Ready Meals > Meat Meals
112616	Allegro > Supermarket > Groceries > Ready Meals > Vegetable Meals
112617	Allegro > Supermarket > Groceries > Ready Meals > Other
112621	Allegro > Supermarket > Groceries > Sandwich Toppings and Dressings > Ketchup
112627	Allegro > Supermarket > Groceries > Sandwich Toppings and Dressings > Sauces
112632	Allegro > Supermarket > Groceries > Drinks and Accessories > Alcohol Flavorings and Essences
112633	Allegro > Supermarket > Groceries > Drinks and Accessories > Sodas
112634	Allegro > Supermarket > Groceries > Drinks and Accessories > Drink Mixes
112635	Allegro > Supermarket > Groceries > Drinks and Accessories > Juices and Nectars
112636	Allegro > Supermarket > Groceries > Drinks and Accessories > Syrups and Concentrates
112638	Allegro > Supermarket > Groceries > Drinks and Accessories > Other
112645	Allegro > Supermarket > Groceries > Dried Fruit, Nuts, Seeds > Seeds and Grains
112646	Allegro > Supermarket > Groceries > Dried Fruit, Nuts, Seeds > Other
112712	Allegro > Home and Garden > Furniture > Furniture Accessories > Other
112715	Allegro > Home and Garden > Furniture > Furniture Accessories > Brakes and Stoppers
112716	Allegro > Home and Garden > Furniture > Furniture Accessories > Wheels
112717	Allegro > Home and Garden > Furniture > Furniture Accessories > Legs and Feet
112721	Allegro > Home and Garden > Furniture > Furniture Accessories > Guides
112722	Allegro > Home and Garden > Furniture > Kitchen > Drawers
112723	Allegro > Home and Garden > Furniture > Furniture Accessories > Care and Repair Products
112724	Allegro > Home and Garden > Furniture > Furniture Accessories > Handles
112725	Allegro > Home and Garden > Furniture > Furniture Accessories > Hinges
112726	Allegro > Home and Garden > Furniture > Kitchen > Barstools
112728	Allegro > Home and Garden > Furniture > Kitchen > Chairs
112729	Allegro > Home and Garden > Furniture > Kitchen > Shelves
112730	Allegro > Home and Garden > Furniture > Kitchen > Stools and Step Stools
112731	Allegro > Home and Garden > Furniture > Kitchen > Kitchen Tables
112732	Allegro > Home and Garden > Furniture > Kitchen > Kitchen Furniture Sets
112733	Allegro > Home and Garden > Furniture > Hallway > Hangers
112734	Allegro > Home and Garden > Furniture > Hallway > Shelves
112735	Allegro > Home and Garden > Furniture > Living Room > Chests of Drawers
112736	Allegro > Home and Garden > Furniture > Living Room > Armories
112737	Allegro > Home and Garden > Furniture > Living Room > Chairs
112738	Allegro > Home and Garden > Furniture > Living Room > Tables
11696	Allegro > Electronics > Photography > Photo Accessories > Photo Albums and Frames > Other
11708	Allegro > Electronics > Photography > Photo Accessories > Cases and Straps > Cases
11717	Allegro > Electronics > Photography > Photo Accessories > Stands > Stand Heads
11730	Allegro > Electronics > Photography > Photo Accessories > Filters > Compensation (gray)
11732	Allegro > Collections and Art > Collections > Model Building > Cars > 1:19 – 1:25
11733	Allegro > Collections and Art > Collections > Model Building > Cars > 1:26 – 1:42
11734	Allegro > Collections and Art > Collections > Model Building > Cars > 1:43
11736	Allegro > Collections and Art > Collections > Model Building > Cars > 1:67 – 1:72
11741	Allegro > Electronics > Photography > Photo Accessories > Cables, Cords and Docking Stations > Other
11747	Allegro > Collections and Art > Collections > Numismatics > Europe > Czech Republic and Slovakia
11750	Allegro > Collections and Art > Collections > Numismatics > Europe > Switzerland
11751	Allegro > Collections and Art > Collections > Numismatics > Europe > Great Britain
11828	Allegro > Kids > Toys > Dolls and Accessories > Dolls > Barbie
11830	Allegro > Kids > Toys > Dolls and Accessories > Other
11842	Allegro > Kids > Toys > Other
11894	Allegro > Electronics > Computers > Printers and Scanners > Parts and Accessories > Accessories > Power Supplies
11895	Allegro > Electronics > Computers > Printers and Scanners > Parts and Accessories > Accessories > Other
11896	Allegro > Electronics > Computers > Printers and Scanners > Parts and Accessories > Parts > Other
11897	Allegro > Electronics > Computers > Printers and Scanners > Parts and Accessories > Parts > Heating Elements
11899	Allegro > Electronics > Computers > Printers and Scanners > Parts and Accessories > Parts > Lasers, Heads, Carriages
11981	Allegro > Home and Garden > Equipment > Holiday and Occasional Decorations > Christmas > Christmas Trees
11982	Allegro > Home and Garden > Equipment > Holiday and Occasional Decorations > Christmas > Figurines
11983	Allegro > Home and Garden > Equipment > Holiday and Occasional Decorations > Christmas > Holiday Cards
11984	Allegro > Home and Garden > Equipment > Holiday and Occasional Decorations > Christmas > Christmas Balls and Christmas Tree Decorations
11985	Allegro > Home and Garden > Equipment > Holiday and Occasional Decorations > Christmas > Christmas Lighting
11986	Allegro > Home and Garden > Equipment > Holiday and Occasional Decorations > Christmas > Nativity Sets and Decorations
11987	Allegro > Home and Garden > Equipment > Holiday and Occasional Decorations > Christmas > Stained Glass Decorations
11988	Allegro > Home and Garden > Equipment > Holiday and Occasional Decorations > Christmas > Candlesticks and Lanterns
11989	Allegro > Home and Garden > Equipment > Holiday and Occasional Decorations > Christmas > Other
11991	Allegro > Home and Garden > Equipment > Holiday and Occasional Decorations > Valentine's Day > Figurines
11994	Allegro > Home and Garden > Equipment > Holiday and Occasional Decorations > Valentine's Day > Other
11996	Allegro > Home and Garden > Equipment > Holiday and Occasional Decorations > Other
119991	Allegro > Real Estate > Commercial Premises and Buildings for Rent > Masovian Province > Warsaw > Mokotow
120	Allegro > Culture and Entertainment > Books and Comics > Magazines > Hobby
121236	Allegro > Business and Services > Industry > Neodymium magnets
121237	Allegro > Home and Garden > Equipment > Funny Gadgets
121254	Allegro > Home and Garden > Equipment > Tableware > Disposable Crockery
121255	Allegro > Home and Garden > Garden > Gardening Tools > Scissors and Pruners
